NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),C6H6 (µg/m³N),C7H8 (µg/m³N),XIL (µg/m³N),PM10 (µg/m³N),Ruido (dBA)
4.0,21.0,13.0,69.0,19.0,44.0,27.0,62.0,1022.0,358.0,1.0,,,,18.0,
5.0,19.0,14.0,73.0,18.0,49.0,26.0,95.0,1022.0,182.0,2.0,,,,19.0,
6.0,38.0,13.0,55.0,16.0,61.0,47.0,100.0,1023.0,21.0,1.0,,,,40.0,
39.0,120.0,11.0,14.0,14.0,72.0,179.0,192.0,1024.0,2.0,1.0,,,,69.0,
52.0,141.0,8.0,2.0,13.0,80.0,222.0,302.0,1024.0,2.0,1.0,,,,82.0,
38.0,129.0,8.0,2.0,12.0,84.0,187.0,304.0,1025.0,2.0,1.0,,,,48.0,
21.0,102.0,7.0,7.0,11.0,88.0,135.0,310.0,1025.0,2.0,1.0,,,,38.0,
24.0,98.0,10.0,5.0,10.0,90.0,134.0,316.0,1026.0,3.0,1.0,,,,37.0,
8.0,67.0,10.0,18.0,10.0,91.0,80.0,305.0,1026.0,3.0,1.0,,,,30.0,
5.0,44.0,9.0,24.0,10.0,92.0,51.0,318.0,1026.0,2.0,1.0,,,,22.0,
5.0,36.0,6.0,24.0,9.0,95.0,44.0,317.0,1026.0,3.0,1.0,,,,16.0,
4.0,32.0,6.0,26.0,9.0,97.0,38.0,318.0,1026.0,3.0,1.0,,,,17.0,
4.0,28.0,9.0,28.0,9.0,97.0,35.0,325.0,1026.0,2.0,1.0,,,,16.0,
5.0,23.0,11.0,35.0,9.0,94.0,30.0,301.0,1026.0,3.0,1.0,,,,15.0,
4.0,21.0,12.0,36.0,9.0,91.0,27.0,306.0,1026.0,3.0,1.0,,,,15.0,
6.0,22.0,13.0,37.0,10.0,91.0,31.0,304.0,1027.0,4.0,1.0,,,,17.0,
5.0,29.0,12.0,34.0,10.0,90.0,38.0,273.0,1027.0,4.0,1.0,,,,17.0,
6.0,40.0,13.0,23.0,9.0,91.0,49.0,256.0,1028.0,8.0,1.0,,,,19.0,
6.0,40.0,14.0,23.0,10.0,93.0,48.0,251.0,1029.0,31.0,1.0,,,,25.0,
13.0,45.0,14.0,23.0,11.0,91.0,64.0,305.0,1029.0,108.0,1.0,,,,22.0,
11.0,34.0,16.0,37.0,13.0,85.0,50.0,322.0,1030.0,192.0,1.0,,,,21.0,
8.0,22.0,11.0,51.0,14.0,82.0,34.0,316.0,1029.0,356.0,1.0,,,,19.0,
7.0,22.0,7.0,51.0,15.0,80.0,33.0,216.0,1028.0,331.0,1.0,,,,18.0,
10.0,27.0,7.0,56.0,15.0,75.0,42.0,116.0,1028.0,189.0,1.0,,,,24.0,
6.0,24.0,8.0,57.0,15.0,74.0,33.0,108.0,1028.0,135.0,1.0,,,,25.0,
6.0,25.0,9.0,57.0,15.0,74.0,34.0,124.0,1028.0,83.0,1.0,,,,26.0,
6.0,28.0,11.0,50.0,15.0,79.0,38.0,117.0,1028.0,34.0,1.0,,,,31.0,
9.0,48.0,12.0,36.0,14.0,86.0,61.0,127.0,1028.0,4.0,1.0,,,,36.0,
