NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),C6H6 (µg/m³N),C7H8 (µg/m³N),XIL (µg/m³N),PM10 (µg/m³N),Ruido (dBA)
10.0,15.0,10.0,55.0,24.0,85.0,30.0,207.0,1018.0,71.0,1.0,,,,36.0,
11.0,13.0,9.0,55.0,25.0,86.0,29.0,76.0,1019.0,89.0,1.0,,,,41.0,
10.0,10.0,8.0,58.0,25.0,94.0,25.0,74.0,1019.0,92.0,1.0,,,,43.0,
8.0,10.0,8.0,62.0,26.0,89.0,22.0,59.0,1019.0,292.0,1.0,,,,38.0,
8.0,9.0,8.0,72.0,27.0,80.0,21.0,69.0,1019.0,331.0,1.0,,,,41.0,
8.0,8.0,7.0,76.0,28.0,79.0,20.0,85.0,1019.0,560.0,2.0,,,,44.0,
11.0,8.0,7.0,79.0,28.0,76.0,25.0,86.0,1018.0,629.0,2.0,,,,42.0,
5.0,7.0,7.0,79.0,28.0,77.0,15.0,81.0,1018.0,446.0,2.0,,,,42.0,
3.0,7.0,7.0,81.0,28.0,76.0,12.0,66.0,1018.0,340.0,1.0,,,,37.0,
3.0,7.0,8.0,76.0,28.0,74.0,12.0,72.0,1018.0,345.0,1.0,,,,37.0,
2.0,7.0,8.0,74.0,28.0,74.0,10.0,83.0,1017.0,206.0,1.0,,,,44.0,
2.0,7.0,8.0,69.0,27.0,83.0,11.0,136.0,1017.0,63.0,2.0,,,,54.0,
3.0,10.0,7.0,66.0,25.0,91.0,15.0,178.0,1017.0,39.0,2.0,,,,50.0,
3.0,10.0,8.0,62.0,25.0,92.0,14.0,182.0,1017.0,9.0,2.0,,,,52.0,
3.0,9.0,8.0,68.0,26.0,85.0,14.0,263.0,1018.0,1.0,1.0,,,,45.0,
5.0,8.0,8.0,67.0,25.0,85.0,16.0,300.0,1018.0,1.0,1.0,,,,41.0,
10.0,9.0,9.0,56.0,25.0,88.0,23.0,173.0,1018.0,1.0,1.0,,,,34.0,
7.0,9.0,9.0,46.0,24.0,90.0,19.0,215.0,1018.0,1.0,1.0,,,,28.0,
8.0,10.0,8.0,47.0,23.0,91.0,22.0,201.0,1017.0,1.0,1.0,,,,26.0,
7.0,8.0,8.0,54.0,23.0,92.0,18.0,201.0,1017.0,1.0,1.0,,,,24.0,
3.0,10.0,9.0,33.0,23.0,93.0,15.0,286.0,1017.0,1.0,1.0,,,,30.0,
2.0,9.0,11.0,39.0,22.0,95.0,12.0,300.0,1017.0,1.0,1.0,,,,35.0,
3.0,10.0,10.0,42.0,23.0,96.0,15.0,273.0,1017.0,1.0,1.0,,,,46.0,
4.0,13.0,9.0,34.0,23.0,97.0,20.0,249.0,1017.0,24.0,1.0,,,,50.0,
3.0,14.0,9.0,51.0,25.0,88.0,19.0,281.0,1017.0,175.0,1.0,,,,57.0,
2.0,10.0,10.0,62.0,27.0,74.0,14.0,292.0,1018.0,391.0,1.0,,,,52.0,
3.0,10.0,9.0,69.0,29.0,61.0,15.0,248.0,1018.0,583.0,1.0,,,,69.0,
2.0,9.0,10.0,86.0,31.0,51.0,13.0,165.0,1019.0,761.0,1.0,,,,46.0,
3.0,9.0,8.0,84.0,30.0,55.0,13.0,169.0,1019.0,888.0,3.0,,,,45.0,
4.0,12.0,6.0,99.0,30.0,48.0,18.0,171.0,1019.0,946.0,3.0,,,,37.0,
4.0,12.0,4.0,102.0,31.0,45.0,19.0,170.0,1019.0,941.0,3.0,,,,39.0,
4.0,10.0,6.0,103.0,31.0,46.0,16.0,173.0,1018.0,920.0,3.0,,,,35.0,
6.0,10.0,8.0,106.0,31.0,43.0,19.0,163.0,1018.0,802.0,3.0,,,,34.0,
4.0,8.0,8.0,120.0,31.0,34.0,13.0,194.0,1018.0,571.0,3.0,,,,22.0,
4.0,8.0,9.0,124.0,31.0,36.0,14.0,199.0,1018.0,441.0,3.0,,,,29.0,
3.0,8.0,10.0,126.0,30.0,37.0,13.0,202.0,1018.0,127.0,2.0,,,,26.0,
3.0,11.0,11.0,113.0,29.0,44.0,15.0,185.0,1018.0,38.0,2.0,,,,37.0,
4.0,13.0,11.0,86.0,27.0,61.0,19.0,176.0,1018.0,8.0,2.0,,,,46.0,
4.0,15.0,11.0,77.0,25.0,69.0,20.0,128.0,1018.0,1.0,1.0,,,,45.0,
3.0,15.0,12.0,61.0,25.0,71.0,20.0,61.0,1018.0,1.0,1.0,,,,37.0,
5.0,22.0,10.0,37.0,25.0,69.0,29.0,229.0,1018.0,1.0,1.0,,,,40.0,
3.0,12.0,7.0,60.0,24.0,75.0,17.0,179.0,1018.0,1.0,1.0,,,,50.0,
4.0,9.0,6.0,74.0,23.0,89.0,15.0,185.0,1018.0,1.0,2.0,,,,39.0,
3.0,10.0,8.0,55.0,23.0,88.0,15.0,250.0,1018.0,1.0,1.0,,,,29.0,
3.0,14.0,9.0,35.0,22.0,79.0,18.0,321.0,1017.0,1.0,1.0,,,,34.0,
2.0,12.0,9.0,54.0,23.0,71.0,15.0,301.0,1017.0,1.0,1.0,,,,30.0,
3.0,12.0,9.0,40.0,23.0,69.0,16.0,148.0,1017.0,2.0,1.0,,,,36.0,
3.0,13.0,10.0,32.0,22.0,78.0,18.0,149.0,1017.0,23.0,1.0,,,,45.0,
3.0,15.0,11.0,35.0,24.0,73.0,20.0,315.0,1018.0,171.0,1.0,,,,46.0,
3.0,13.0,9.0,80.0,29.0,44.0,17.0,275.0,1018.0,381.0,1.0,,,,26.0,
2.0,8.0,10.0,113.0,32.0,33.0,12.0,156.0,1019.0,579.0,1.0,,,,21.0,
3.0,9.0,10.0,124.0,33.0,29.0,13.0,172.0,1019.0,746.0,1.0,,,,23.0,
3.0,8.0,9.0,138.0,34.0,27.0,12.0,146.0,1019.0,867.0,2.0,,,,27.0,
4.0,9.0,6.0,135.0,34.0,29.0,15.0,173.0,1019.0,943.0,2.0,,,,27.0,
4.0,8.0,7.0,128.0,34.0,28.0,13.0,179.0,1019.0,934.0,4.0,,,,27.0,
3.0,7.0,8.0,126.0,34.0,28.0,12.0,180.0,1019.0,905.0,4.0,,,,30.0,
2.0,8.0,9.0,131.0,33.0,29.0,12.0,170.0,1018.0,797.0,3.0,,,,27.0,
3.0,8.0,9.0,136.0,33.0,27.0,12.0,175.0,1018.0,537.0,4.0,,,,23.0,
2.0,8.0,8.0,142.0,33.0,28.0,11.0,182.0,1018.0,414.0,4.0,,,,20.0,
2.0,9.0,9.0,148.0,32.0,29.0,13.0,204.0,1018.0,128.0,3.0,,,,21.0,
2.0,8.0,10.0,150.0,32.0,30.0,12.0,192.0,1018.0,37.0,3.0,,,,21.0,
2.0,11.0,10.0,137.0,30.0,32.0,14.0,200.0,1018.0,8.0,2.0,,,,24.0,
2.0,12.0,10.0,123.0,30.0,34.0,15.0,189.0,1018.0,1.0,1.0,,,,38.0,
3.0,18.0,12.0,83.0,28.0,40.0,23.0,221.0,1019.0,1.0,1.0,,,,26.0,
2.0,19.0,10.0,79.0,27.0,42.0,23.0,314.0,1018.0,1.0,1.0,,,,23.0,
2.0,10.0,8.0,101.0,28.0,41.0,13.0,275.0,1018.0,1.0,1.0,,,,21.0,
2.0,10.0,9.0,92.0,27.0,44.0,13.0,191.0,1018.0,1.0,1.0,,,,24.0,
2.0,12.0,9.0,85.0,26.0,48.0,15.0,183.0,1017.0,1.0,1.0,,,,29.0,
3.0,12.0,8.0,63.0,25.0,78.0,17.0,242.0,1017.0,1.0,2.0,,,,40.0,
3.0,18.0,8.0,41.0,23.0,62.0,22.0,327.0,1017.0,1.0,1.0,,,,21.0,
2.0,15.0,10.0,60.0,24.0,71.0,19.0,301.0,1017.0,1.0,1.0,,,,42.0,
2.0,14.0,9.0,64.0,24.0,72.0,18.0,306.0,1017.0,22.0,1.0,,,,32.0,
3.0,27.0,8.0,45.0,25.0,67.0,31.0,324.0,1017.0,175.0,1.0,,,,50.0,
2.0,18.0,8.0,69.0,29.0,49.0,22.0,110.0,1015.0,388.0,1.0,,,,38.0,
,,,,30.0,40.0,,109.0,1018.0,591.0,1.0,,,,56.0,
6.0,14.0,17.0,121.0,32.0,35.0,23.0,116.0,1017.0,746.0,1.0,,,,52.0,
6.0,16.0,10.0,121.0,33.0,38.0,25.0,140.0,1019.0,874.0,1.0,,,,52.0,
3.0,14.0,7.0,137.0,34.0,32.0,18.0,158.0,1019.0,950.0,2.0,,,,35.0,
3.0,17.0,7.0,125.0,33.0,34.0,22.0,165.0,1019.0,931.0,2.0,,,,37.0,
3.0,15.0,10.0,126.0,33.0,29.0,19.0,157.0,1018.0,912.0,2.0,,,,32.0,
5.0,14.0,14.0,127.0,33.0,32.0,22.0,155.0,1018.0,797.0,2.0,,,,36.0,
5.0,15.0,15.0,118.0,33.0,33.0,22.0,129.0,1018.0,583.0,2.0,,,,40.0,
4.0,10.0,11.0,108.0,32.0,39.0,17.0,96.0,1018.0,424.0,2.0,,,,49.0,
3.0,12.0,7.0,92.0,30.0,54.0,16.0,93.0,1017.0,122.0,2.0,,,,49.0,
4.0,11.0,8.0,83.0,29.0,63.0,16.0,83.0,1017.0,41.0,2.0,,,,46.0,
2.0,10.0,8.0,70.0,28.0,66.0,14.0,67.0,1018.0,9.0,1.0,,,,32.0,
3.0,14.0,8.0,70.0,26.0,66.0,18.0,93.0,1018.0,1.0,1.0,,,,37.0,
2.0,12.0,9.0,61.0,26.0,71.0,16.0,105.0,1019.0,1.0,1.0,,,,35.0,
2.0,15.0,9.0,49.0,25.0,73.0,18.0,347.0,1019.0,1.0,1.0,,,,35.0,
2.0,18.0,8.0,33.0,24.0,76.0,21.0,329.0,1019.0,1.0,1.0,,,,37.0,
2.0,17.0,7.0,44.0,24.0,74.0,20.0,310.0,1018.0,1.0,1.0,,,,34.0,
2.0,10.0,8.0,56.0,24.0,71.0,14.0,246.0,1018.0,1.0,1.0,,,,31.0,
2.0,13.0,9.0,37.0,23.0,75.0,16.0,288.0,1018.0,1.0,1.0,,,,30.0,
2.0,15.0,10.0,35.0,23.0,77.0,18.0,318.0,1017.0,1.0,1.0,,,,44.0,
2.0,16.0,9.0,50.0,23.0,72.0,19.0,208.0,1018.0,1.0,1.0,,,,36.0,
4.0,31.0,9.0,21.0,23.0,73.0,37.0,320.0,1018.0,25.0,1.0,,,,61.0,
9.0,37.0,9.0,28.0,25.0,65.0,50.0,248.0,1019.0,148.0,1.0,,,,79.0,
2.0,19.0,9.0,81.0,28.0,48.0,22.0,122.0,1019.0,354.0,1.0,,,,44.0,
2.0,14.0,7.0,86.0,29.0,50.0,18.0,69.0,1020.0,553.0,1.0,,,,51.0,
2.0,9.0,7.0,91.0,30.0,53.0,13.0,76.0,1021.0,714.0,1.0,,,,34.0,
2.0,8.0,8.0,100.0,30.0,51.0,11.0,72.0,1021.0,833.0,1.0,,,,27.0,
2.0,7.0,8.0,112.0,31.0,48.0,10.0,91.0,1021.0,912.0,2.0,,,,30.0,
2.0,7.0,5.0,114.0,31.0,47.0,10.0,95.0,1021.0,902.0,2.0,,,,27.0,
3.0,7.0,7.0,109.0,32.0,43.0,12.0,89.0,1021.0,870.0,1.0,,,,23.0,
4.0,7.0,10.0,103.0,33.0,40.0,14.0,90.0,1020.0,756.0,1.0,,,,23.0,
4.0,7.0,11.0,95.0,32.0,43.0,13.0,85.0,1020.0,533.0,2.0,,,,31.0,
5.0,8.0,9.0,95.0,31.0,48.0,14.0,95.0,1020.0,388.0,2.0,,,,37.0,
4.0,8.0,7.0,93.0,30.0,54.0,14.0,91.0,1020.0,130.0,1.0,,,,32.0,
3.0,9.0,8.0,85.0,29.0,60.0,12.0,89.0,1020.0,52.0,1.0,,,,39.0,
2.0,9.0,8.0,70.0,27.0,74.0,13.0,75.0,1020.0,10.0,1.0,,,,78.0,
3.0,12.0,9.0,61.0,26.0,81.0,16.0,72.0,1020.0,1.0,1.0,,,,56.0,
2.0,11.0,10.0,59.0,26.0,85.0,14.0,109.0,1021.0,1.0,1.0,,,,40.0,
2.0,9.0,9.0,54.0,26.0,88.0,13.0,114.0,1021.0,1.0,1.0,,,,31.0,
4.0,10.0,8.0,49.0,25.0,91.0,16.0,125.0,1021.0,1.0,1.0,,,,24.0,
4.0,10.0,8.0,42.0,25.0,91.0,16.0,164.0,1021.0,1.0,1.0,,,,25.0,
5.0,12.0,8.0,28.0,24.0,91.0,19.0,199.0,1021.0,1.0,1.0,,,,20.0,
4.0,13.0,8.0,21.0,24.0,93.0,20.0,315.0,1021.0,1.0,1.0,,,,27.0,
4.0,11.0,8.0,33.0,24.0,89.0,16.0,312.0,1020.0,1.0,1.0,,,,27.0,
2.0,15.0,10.0,24.0,23.0,88.0,18.0,328.0,1021.0,1.0,1.0,,,,29.0,
3.0,13.0,8.0,30.0,24.0,90.0,18.0,307.0,1021.0,26.0,1.0,,,,42.0,
8.0,20.0,8.0,30.0,26.0,78.0,33.0,251.0,1021.0,144.0,1.0,,,,56.0,
5.0,15.0,8.0,55.0,27.0,67.0,23.0,147.0,1022.0,345.0,1.0,,,,54.0,
5.0,14.0,8.0,71.0,29.0,60.0,22.0,123.0,1022.0,543.0,1.0,,,,42.0,
5.0,11.0,11.0,96.0,31.0,44.0,19.0,108.0,1022.0,715.0,1.0,,,,24.0,
5.0,14.0,9.0,104.0,32.0,42.0,21.0,124.0,1023.0,829.0,1.0,,,,54.0,
6.0,14.0,7.0,111.0,32.0,49.0,23.0,135.0,1023.0,904.0,1.0,,,,52.0,
8.0,12.0,8.0,105.0,33.0,54.0,25.0,103.0,1023.0,894.0,1.0,,,,48.0,
5.0,12.0,8.0,106.0,33.0,49.0,20.0,120.0,1023.0,869.0,1.0,,,,43.0,
3.0,12.0,9.0,104.0,35.0,43.0,17.0,141.0,1022.0,762.0,1.0,,,,38.0,
3.0,12.0,10.0,109.0,36.0,37.0,17.0,129.0,1022.0,511.0,1.0,,,,43.0,
4.0,19.0,9.0,113.0,36.0,35.0,24.0,143.0,1022.0,387.0,1.0,,,,46.0,
3.0,19.0,6.0,110.0,35.0,33.0,23.0,149.0,1022.0,128.0,1.0,,,,46.0,
3.0,18.0,6.0,109.0,34.0,28.0,22.0,165.0,1021.0,50.0,2.0,,,,47.0,
4.0,13.0,7.0,90.0,31.0,39.0,19.0,177.0,1021.0,8.0,1.0,,,,69.0,
2.0,13.0,8.0,77.0,30.0,45.0,16.0,128.0,1022.0,1.0,1.0,,,,72.0,
2.0,19.0,9.0,44.0,28.0,56.0,22.0,55.0,1022.0,1.0,1.0,,,,63.0,
2.0,15.0,10.0,30.0,27.0,76.0,18.0,73.0,1022.0,1.0,1.0,,,,63.0,
2.0,10.0,8.0,28.0,26.0,88.0,13.0,80.0,1022.0,1.0,1.0,,,,43.0,
2.0,6.0,7.0,36.0,26.0,94.0,10.0,108.0,1022.0,2.0,1.0,,,,30.0,
2.0,6.0,7.0,38.0,26.0,95.0,9.0,90.0,1023.0,2.0,1.0,,,,25.0,
2.0,7.0,8.0,39.0,26.0,93.0,10.0,100.0,1023.0,2.0,1.0,,,,28.0,
3.0,7.0,8.0,33.0,26.0,94.0,11.0,153.0,1023.0,1.0,1.0,,,,27.0,
3.0,9.0,8.0,32.0,26.0,95.0,13.0,322.0,1023.0,2.0,1.0,,,,29.0,
2.0,13.0,9.0,26.0,26.0,95.0,17.0,343.0,1023.0,15.0,1.0,,,,34.0,
3.0,16.0,9.0,27.0,26.0,94.0,22.0,332.0,1024.0,99.0,1.0,,,,56.0,
3.0,11.0,8.0,52.0,27.0,84.0,15.0,219.0,1024.0,282.0,1.0,,,,33.0,
3.0,9.0,7.0,60.0,29.0,72.0,13.0,68.0,1024.0,512.0,1.0,,,,39.0,
2.0,8.0,5.0,69.0,30.0,67.0,11.0,84.0,1024.0,558.0,1.0,,,,38.0,
2.0,7.0,7.0,73.0,30.0,67.0,11.0,96.0,1024.0,829.0,2.0,,,,43.0,
2.0,8.0,6.0,80.0,31.0,60.0,11.0,104.0,1024.0,903.0,1.0,,,,36.0,
3.0,8.0,5.0,84.0,32.0,56.0,12.0,104.0,1023.0,902.0,1.0,,,,48.0,
4.0,8.0,5.0,83.0,32.0,54.0,14.0,100.0,1023.0,876.0,1.0,,,,38.0,
6.0,7.0,9.0,84.0,33.0,48.0,16.0,90.0,1023.0,765.0,1.0,,,,40.0,
5.0,7.0,9.0,79.0,33.0,50.0,16.0,87.0,1022.0,525.0,1.0,,,,49.0,
5.0,7.0,8.0,76.0,32.0,52.0,15.0,103.0,1022.0,391.0,1.0,,,,50.0,
3.0,7.0,6.0,81.0,32.0,56.0,11.0,81.0,1021.0,167.0,1.0,,,,49.0,
4.0,9.0,4.0,80.0,30.0,62.0,16.0,94.0,1021.0,58.0,1.0,,,,52.0,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,8.0,49.0,28.0,80.0,,59.0,1020.0,179.0,1.0,,,,45.0,
,,7.0,56.0,28.0,78.0,,67.0,1022.0,305.0,1.0,,,,40.0,
,,8.0,67.0,29.0,68.0,,59.0,1023.0,580.0,1.0,,,,39.0,
,,9.0,71.0,30.0,64.0,,61.0,1023.0,614.0,1.0,,,,42.0,
,,6.0,75.0,30.0,65.0,,76.0,1023.0,822.0,2.0,,,,36.0,
,,5.0,81.0,31.0,63.0,,87.0,1022.0,870.0,2.0,,,,51.0,
,,7.0,69.0,30.0,62.0,,91.0,1022.0,830.0,2.0,,,,32.0,
,,10.0,62.0,31.0,58.0,,92.0,1022.0,777.0,2.0,,,,35.0,
,,10.0,60.0,30.0,62.0,,92.0,1022.0,524.0,2.0,,,,35.0,
,,8.0,62.0,30.0,65.0,,91.0,1021.0,394.0,1.0,,,,37.0,
,,8.0,60.0,29.0,70.0,,84.0,1021.0,121.0,1.0,,,,32.0,
,,8.0,53.0,28.0,75.0,,81.0,1021.0,51.0,1.0,,,,36.0,
,,8.0,49.0,27.0,78.0,,65.0,1021.0,8.0,1.0,,,,80.0,
,,9.0,54.0,26.0,81.0,,60.0,1021.0,1.0,1.0,,,,51.0,
,,9.0,56.0,26.0,83.0,,58.0,1022.0,1.0,1.0,,,,23.0,
,,9.0,54.0,26.0,84.0,,92.0,1022.0,1.0,1.0,,,,23.0,
,,8.0,52.0,26.0,85.0,,68.0,1022.0,1.0,1.0,,,,28.0,
,,7.0,50.0,25.0,89.0,,44.0,1022.0,1.0,1.0,,,,23.0,
,,8.0,49.0,25.0,90.0,,297.0,1022.0,1.0,1.0,,,,20.0,
,,9.0,44.0,24.0,90.0,,338.0,1022.0,1.0,1.0,,,,19.0,
,,9.0,41.0,24.0,90.0,,337.0,1022.0,1.0,1.0,,,,20.0,
,,10.0,42.0,24.0,90.0,,328.0,1022.0,1.0,1.0,,,,18.0,
,,8.0,39.0,24.0,87.0,,318.0,1022.0,21.0,1.0,,,,23.0,
,,9.0,46.0,25.0,81.0,,306.0,1023.0,153.0,1.0,,,,48.0,
,,9.0,60.0,27.0,74.0,,79.0,1023.0,310.0,1.0,,,,33.0,
,,9.0,71.0,28.0,67.0,,85.0,1023.0,488.0,1.0,,,,26.0,
,,9.0,86.0,29.0,59.0,,95.0,1024.0,726.0,1.0,,,,22.0,
,,8.0,87.0,30.0,59.0,,96.0,1024.0,860.0,2.0,,,,37.0,
,,6.0,85.0,30.0,59.0,,89.0,1024.0,904.0,1.0,,,,26.0,
,,5.0,83.0,30.0,60.0,,90.0,1024.0,872.0,2.0,,,,35.0,
,,7.0,79.0,30.0,60.0,,93.0,1023.0,779.0,2.0,,,,26.0,
,,8.0,75.0,30.0,57.0,,94.0,1023.0,688.0,2.0,,,,24.0,
,,11.0,75.0,30.0,58.0,,96.0,1023.0,432.0,2.0,,,,26.0,
,,9.0,79.0,30.0,60.0,,91.0,1023.0,368.0,2.0,,,,26.0,
,,9.0,75.0,29.0,65.0,,94.0,1023.0,128.0,2.0,,,,27.0,
,,11.0,71.0,27.0,71.0,,85.0,1023.0,52.0,1.0,,,,36.0,
,,10.0,74.0,26.0,75.0,,92.0,1024.0,9.0,1.0,,,,140.0,
,,8.0,68.0,26.0,78.0,,108.0,1024.0,1.0,1.0,,,,54.0,
,,7.0,63.0,25.0,80.0,,15.0,1024.0,1.0,1.0,,,,20.0,
,,8.0,45.0,25.0,81.0,,210.0,1025.0,1.0,1.0,,,,21.0,
,,7.0,41.0,25.0,82.0,,325.0,1024.0,1.0,1.0,,,,23.0,
,,8.0,33.0,25.0,83.0,,324.0,1024.0,1.0,1.0,,,,18.0,
,,8.0,28.0,24.0,85.0,,333.0,1024.0,1.0,1.0,,,,18.0,
,,9.0,34.0,24.0,87.0,,318.0,1024.0,1.0,1.0,,,,21.0,
,,9.0,36.0,23.0,88.0,,313.0,1023.0,1.0,1.0,,,,18.0,
,,9.0,39.0,23.0,87.0,,305.0,1023.0,1.0,1.0,,,,21.0,
,,9.0,33.0,23.0,87.0,,316.0,1024.0,22.0,1.0,,,,43.0,
,,9.0,44.0,24.0,83.0,,318.0,1024.0,159.0,1.0,,,,37.0,
,,10.0,79.0,26.0,61.0,,327.0,1025.0,364.0,1.0,,,,10.0,
,,10.0,86.0,29.0,52.0,,112.0,1025.0,562.0,1.0,,,,17.0,
,,12.0,97.0,30.0,43.0,,84.0,1025.0,742.0,1.0,,,,10.0,
,,11.0,103.0,31.0,41.0,,113.0,1025.0,871.0,1.0,,,,23.0,
,,7.0,108.0,31.0,39.0,,94.0,1026.0,943.0,1.0,,,,19.0,
,,5.0,112.0,32.0,38.0,,96.0,1025.0,930.0,2.0,,,,18.0,
3.0,7.0,8.0,105.0,32.0,37.0,11.0,98.0,1025.0,906.0,2.0,,,,18.0,
4.0,7.0,10.0,107.0,32.0,36.0,14.0,96.0,1025.0,795.0,2.0,,,,19.0,
5.0,7.0,9.0,103.0,32.0,39.0,15.0,91.0,1025.0,541.0,2.0,,,,24.0,
4.0,12.0,9.0,97.0,30.0,47.0,16.0,91.0,1024.0,410.0,2.0,,,,29.0,
2.0,7.0,10.0,96.0,29.0,53.0,10.0,92.0,1024.0,116.0,2.0,,,,25.0,
3.0,7.0,12.0,89.0,28.0,58.0,11.0,93.0,1024.0,38.0,2.0,,,,30.0,
3.0,8.0,12.0,82.0,27.0,62.0,12.0,91.0,1024.0,7.0,1.0,,,,75.0,
3.0,13.0,11.0,66.0,26.0,67.0,18.0,81.0,1024.0,1.0,1.0,,,,107.0,
3.0,15.0,11.0,58.0,26.0,68.0,20.0,313.0,1025.0,1.0,1.0,,,,23.0,
3.0,19.0,10.0,41.0,25.0,68.0,24.0,314.0,1025.0,1.0,1.0,,,,23.0,
2.0,17.0,8.0,38.0,25.0,67.0,21.0,312.0,1024.0,1.0,1.0,,,,22.0,
3.0,15.0,7.0,43.0,24.0,67.0,19.0,312.0,1024.0,1.0,1.0,,,,20.0,
2.0,10.0,9.0,52.0,24.0,68.0,13.0,304.0,1024.0,1.0,1.0,,,,20.0,
2.0,9.0,9.0,53.0,24.0,73.0,13.0,302.0,1023.0,1.0,1.0,,,,23.0,
2.0,11.0,9.0,37.0,22.0,74.0,15.0,282.0,1023.0,1.0,1.0,,,,20.0,
2.0,15.0,10.0,35.0,22.0,70.0,18.0,307.0,1023.0,1.0,1.0,,,,23.0,
2.0,9.0,10.0,32.0,22.0,73.0,13.0,313.0,1023.0,24.0,1.0,,,,36.0,
5.0,13.0,10.0,57.0,25.0,67.0,21.0,310.0,1023.0,151.0,1.0,,,,47.0,
11.0,13.0,10.0,83.0,27.0,60.0,30.0,304.0,1024.0,347.0,1.0,,,,28.0,
8.0,12.0,11.0,89.0,29.0,56.0,24.0,107.0,1024.0,541.0,1.0,,,,45.0,
8.0,10.0,11.0,94.0,30.0,52.0,22.0,78.0,1024.0,711.0,1.0,,,,35.0,
6.0,9.0,10.0,99.0,30.0,50.0,18.0,85.0,1024.0,838.0,1.0,,,,31.0,
5.0,8.0,9.0,112.0,31.0,47.0,15.0,93.0,1024.0,904.0,2.0,,,,22.0,
4.0,9.0,7.0,123.0,31.0,42.0,13.0,83.0,1024.0,895.0,1.0,,,,20.0,
3.0,7.0,8.0,112.0,31.0,46.0,11.0,98.0,1023.0,868.0,2.0,,,,28.0,
3.0,6.0,9.0,98.0,30.0,50.0,11.0,94.0,1023.0,754.0,2.0,,,,37.0,
4.0,6.0,8.0,103.0,30.0,50.0,12.0,92.0,1023.0,507.0,2.0,,,,31.0,
2.0,6.0,7.0,112.0,30.0,51.0,10.0,93.0,1022.0,324.0,2.0,,,,38.0,
2.0,6.0,8.0,97.0,29.0,60.0,9.0,86.0,1022.0,100.0,1.0,,,,35.0,
2.0,6.0,8.0,79.0,28.0,71.0,9.0,83.0,1022.0,65.0,1.0,,,,51.0,
2.0,6.0,9.0,66.0,27.0,79.0,9.0,66.0,1022.0,7.0,1.0,,,,82.0,
2.0,6.0,10.0,56.0,26.0,83.0,9.0,72.0,1023.0,1.0,1.0,,,,55.0,
2.0,6.0,11.0,56.0,26.0,83.0,9.0,72.0,1023.0,1.0,1.0,,,,21.0,
2.0,6.0,10.0,60.0,26.0,82.0,9.0,95.0,1023.0,1.0,1.0,,,,17.0,
2.0,6.0,8.0,67.0,26.0,80.0,9.0,141.0,1023.0,1.0,1.0,,,,14.0,
2.0,6.0,8.0,61.0,26.0,80.0,9.0,338.0,1023.0,1.0,1.0,,,,12.0,
2.0,6.0,8.0,71.0,26.0,68.0,9.0,210.0,1023.0,1.0,1.0,,,,8.0,
2.0,6.0,8.0,62.0,26.0,67.0,9.0,232.0,1021.0,1.0,1.0,,,,11.0,
2.0,6.0,8.0,58.0,25.0,63.0,9.0,197.0,1021.0,1.0,1.0,,,,12.0,
2.0,6.0,9.0,39.0,24.0,66.0,9.0,302.0,1021.0,1.0,1.0,,,,27.0,
2.0,10.0,9.0,23.0,24.0,68.0,13.0,301.0,1021.0,18.0,1.0,,,,52.0,
3.0,17.0,10.0,36.0,24.0,64.0,21.0,311.0,1020.0,66.0,1.0,,,,88.0,
2.0,8.0,10.0,78.0,27.0,59.0,11.0,233.0,1021.0,316.0,1.0,,,,45.0,
2.0,6.0,8.0,108.0,29.0,44.0,9.0,95.0,1021.0,564.0,1.0,,,,22.0,
2.0,6.0,8.0,117.0,31.0,32.0,9.0,71.0,1021.0,722.0,1.0,,,,46.0,
2.0,6.0,8.0,108.0,31.0,48.0,9.0,84.0,1022.0,862.0,2.0,,,,63.0,
2.0,6.0,7.0,108.0,31.0,52.0,9.0,92.0,1022.0,854.0,2.0,,,,46.0,
2.0,6.0,6.0,101.0,31.0,51.0,9.0,88.0,1021.0,917.0,2.0,,,,26.0,
3.0,7.0,8.0,90.0,31.0,51.0,11.0,97.0,1021.0,882.0,2.0,,,,23.0,
3.0,6.0,10.0,84.0,32.0,48.0,10.0,90.0,1021.0,765.0,2.0,,,,22.0,
3.0,7.0,12.0,87.0,31.0,46.0,12.0,96.0,1020.0,513.0,2.0,,,,27.0,
3.0,7.0,9.0,98.0,31.0,47.0,12.0,71.0,1020.0,383.0,1.0,,,,28.0,
3.0,8.0,7.0,104.0,30.0,47.0,13.0,82.0,1020.0,128.0,1.0,,,,30.0,
3.0,8.0,8.0,86.0,29.0,57.0,14.0,73.0,1020.0,44.0,1.0,,,,68.0,
3.0,9.0,8.0,68.0,27.0,72.0,13.0,65.0,1020.0,10.0,1.0,,,,106.0,
